shot_num,team,distant_to_goal,play_pattern,duration,angle_to_goal,players_between_goal,within_1,within_5,within_10,goal
58,Barcelona,16.172198366332264,From Counter,0.7133,0.4861518477949719,1,0,1,3,1
59,Barcelona,17.71383639983163,Regular Play,0.4806,0.259547168783393,1,0,1,3,0
60,Barcelona,18.478365728602736,From Goal Kick,0.666552,0.6638286769666946,1,0,2,3,0
61,Barcelona,12.30690862889621,From Goal Kick,0.1548,0.5229387635711717,1,0,2,3,0
62,Barcelona,18.627130750601395,From Goal Kick,1.4048,0.5435873883006564,1,0,0,5,0
63,Barcelona,32.43223704896102,From Free Kick,1.1219,0.4013939381330645,2,0,1,5,0
64,Barcelona,31.022894771442587,From Corner,1.2194,0.6139382093327208,3,0,0,2,0
65,Barcelona,7.335529974037321,Regular Play,0.8704,0.09204684886340696,1,0,3,6,1
66,Barcelona,13.091982279242517,From Free Kick,0.1637,0.7431697612844461,1,0,1,4,0
67,Barcelona,24.752373623553765,From Corner,0.2202,0.04954619459112531,3,0,1,6,0
68,Barcelona,24.75176761364731,From Corner,1.069607,0.818804753728966,1,0,2,9,0
69,Barcelona,9.902019995940226,From Free Kick,0.1071,0.6724785026448453,2,0,4,10,0
70,Barcelona,4.34165866921848,From Free Kick,0.9354,0.4636476090008061,0,0,2,9,1
71,Espanyol,16.881350656863923,From Counter,0.7736,0.6967422815300106,1,0,2,3,0
72,Barcelona,15.41492782986673,Regular Play,1.5317,0.05953222007524827,1,0,2,2,1
73,Espanyol,18.389671013914306,Regular Play,0.7987,0.6320657749991254,1,0,3,5,0
74,Barcelona,15.521919984331838,From Throw In,0.3163,0.6466309890268193,2,0,0,1,0
75,Barcelona,30.647185841443903,From Throw In,0.3793,0.18416381792629244,3,0,1,3,0
76,Espanyol,10.257680049601856,From Throw In,0.2429,1.194305992348374,1,0,2,3,0
77,Barcelona,20.565261972559455,Regular Play,0.1602,0.9296180941953749,1,0,1,1,0
78,Barcelona,7.993122043357024,From Corner,0.5351,0.25307565216460237,2,0,4,9,0
79,Barcelona,13.612494260788507,From Corner,0.8875,0.07074786775360746,1,0,3,4,0
80,Espanyol,11.225862995778993,From Throw In,0.4369,1.236334592634828,2,0,2,5,0
81,Barcelona,17.117242768623694,Regular Play,0.6743,0.5614936632670986,1,0,4,6,0
82,Espanyol,11.718361660232206,From Throw In,0.3417,0.13381097747459056,1,0,2,4,0
83,Barcelona,31.469667935966527,From Free Kick,1.2868,0.39127083384247774,2,0,1,8,0
84,Barcelona,33.42932844075693,From Free Kick,1.8706,0.07768764192954629,3,0,0,5,0
85,Barcelona,20.4413796011913,From Throw In,0.2421,0.6536358969195221,2,0,1,6,0
86,Barcelona,19.31035991378721,Regular Play,1.2993,0.5863524400288878,2,0,1,4,0
87,Barcelona,22.17746604100658,Regular Play,0.872306,0.05449145624073132,1,0,5,8,0
88,Barcelona,24.20123963767146,From Corner,0.474407,0.3592329910883036,1,0,4,8,0
89,Sevilla,10.176934705499491,From Throw In,0.1706,1.287575447675688,1,0,1,2,0
90,Barcelona,10.92016483392078,From Throw In,1.189123,0.6590037427183006,1,1,2,5,0
91,Sevilla,8.005623023850175,From Free Kick,2.0471,0.06933313368820855,1,0,4,8,0
92,Barcelona,33.26334318735866,From Goal Kick,2.129147,0.4700577776111177,1,0,1,5,0
93,Barcelona,9.529428104561154,From Counter,0.831397,1.2226729915142118,1,0,2,6,1
94,Barcelona,8.713208364316792,Regular Play,0.51307,0.8602580111082149,4,0,1,7,1
95,Barcelona,16.367040050051813,From Corner,0.661582,0.8372036201884496,4,0,3,7,1
96,Barcelona,10.96220780682432,Regular Play,0.081467,0.2633976325455003,2,0,2,7,0
97,Barcelona,19.024457942343588,Regular Play,0.436723,0.591363935425931,1,0,1,5,0
98,Barcelona,20.80096151623766,Regular Play,0.8594,0.6678325892598047,1,0,1,5,0
99,Sevilla,17.607100840286,From Corner,0.4507,0.9195359168881183,1,0,1,4,0
100,Sevilla,15.984054554461453,Regular Play,0.6557,1.0702140209000501,1,0,0,3,0
101,Sevilla,21.523243250030884,Regular Play,1.185915,1.240285045345738,1,0,2,5,0
102,Sevilla,26.923595599399427,Regular Play,0.7924,0.311800634003837,2,0,1,5,0
103,Barcelona,18.061284561182244,From Goal Kick,0.4418,0.12290676963599911,1,0,2,4,0
104,Barcelona,19.132433196015604,From Goal Kick,1.245852,0.1209536471195204,2,0,3,5,0
105,Sevilla,17.840403582878945,From Counter,1.352295,0.15602484300105124,2,0,2,4,0
106,Barcelona,24.10995644956664,From Free Kick,0.7111,0.2567083304333856,1,0,1,4,0
107,Portugal,15.264337522473747,Regular Play,1.093,0.844153986113171,1,0,4,5,0
108,Iran,21.95449840010015,Regular Play,1.173,0.35299038782691045,1,0,2,3,0
109,Portugal,18.681541692269406,From Throw In,0.92,0.05549850524571683,1,0,2,3,0
110,Portugal,29.154759474226502,From Free Kick,0.507,0.6498704494119476,5,0,0,1,0
111,Portugal,20.024984394500787,From Corner,0.427,0.14888994760949725,2,0,1,6,0
112,Portugal,7.810249675906654,From Corner,1.56,0.16514867741462683,1,0,3,10,0
